fileID,f1,f2,vot,notes
ne01_kaka,881.60,1698.10,63.78,
ne01_kaka1,946.75,1779.08,65.97,
ne01_kaka2,1064.08,1775.91,41.75,
ne01_keke,475.12,2512.60,47.82,
ne01_keke1,600.98,2423.99,34.22,
ne01_keke2,488.68,2662.37,36.42,
ne01_kiki,342.77,2845.09,47.79,
ne01_kiki1,1038.44,2400.87,66.81,
ne01_kiki2,438.63,2777.42,49.40,
ne01_koko,671.09,1116.83,47.57,
ne01_koko1,577.09,1061.81,45.14,
ne01_koko2,658.78,1101.82,39.16,
ne01_kuku,487.55,1101.71,62.23,
ne01_kuku1,443.86,1011.44,67.75,
ne01_kuku2,1015.44,1949.74,73.08,
ne01_paka,742.69,1512.00,36.44,
ne01_paka1,798.08,1527.58,24.51,
ne01_paka2,849.17,1653.07,51.34,
ne01_peke,456.81,2638.58,32.77,
ne01_peke1,384.44,2671.79,56.77,
ne01_peke2,545.06,2512.15,44.62,
ne01_piki,403.40,2817.43,42.33,
ne01_piki1,419.56,2871.38,32.67,
ne01_piki2,372.17,2932.55,22.84,
ne01_poko,522.94,1080.86,38.37,
ne01_poko1,587.43,1156.52,21.92,
ne01_poko2,500.79,1049.23,31.11,
ne01_puku,417.44,1061.64,44.59,
ne01_puku1,446.50,1068.38,54.18,
ne01_puku2,438.93,1011.26,63.74,
ne01_taka,883.20,1703.92,21.78,
ne01_taka1,1215.10,1795.38,24.19,
ne01_taka2,964.87,1664.86,26.72,
ne01_teke,504.72,2473.22,27.93,
ne01_teke1,547.76,2468.83,31.11,
ne01_teke2,879.19,2515.67,35.53,
ne01_tiki,401.15,2927.22,43.02,
ne01_tiki1,384.08,2838.00,30.53,
ne01_tiki2,354.92,3009.25,41.75,
ne01_toko,614.25,1042.15,40.98,
ne01_toko1,513.17,1080.72,35.10,
ne01_toko2,543.26,1060.22,30.32,
ne01_tuku,424.38,1057.80,54.62,
ne01_tuku1,412.36,1074.54,47.82,
ne01_tuku2,1060.03,1676.01,56.77,
